ano;GEOCODIGO;cidade;rede;educacao_infantil;anos_iniciais;anos_finais;ensino_fundamental;ensino_medio;eja_fundamental;eja_medio
2021;4311759;MANOEL VIANA;Total;75;88.1;49.6;64.2;47.9;66.7;0
2021;4311775;MAQUINÉ;Total;84.6;75.5;52.5;61.7;58.8;66.7;0
2021;4311791;MARATÁ;Total;25;71.2;46.8;57.5;47.9;0;0
2021;4311809;MARAU;Total;62.6;77.7;66.5;72.1;68.8;40.5;43.5
2021;4311908;MARCELINO RAMOS;Total;70;87.6;50;64.6;67.2;0;0
2021;4311981;MARIANA PIMENTEL;Total;87.5;72.8;94.8;83.7;36.6;0;0
2021;4312005;MARIANO MORO;Total;77.8;100;68.2;83.5;45.9;0;0
2021;4312054;MARQUES DE SOUZA;Total;42.1;69.7;41.8;54.3;54.7;0;0
2021;4312104;MATA;Total;100;93.9;50.6;66.2;60;0;0
2021;4312138;MATO CASTELHANO;Total;28;88.8;58.5;75.3;67.9;0;0
2021;4312153;MATO LEITÃO;Total;83.3;82.9;78.2;80.8;74.7;0;0
2021;4312179;MATO QUEIMADO;Total;46.2;43.6;53.8;51.3;68.3;0;0
2021;4312203;MAXIMILIANO DE ALMEIDA;Total;80;77.4;39.2;54.5;57.1;0;0
2021;4312252;MINAS DO LEÃO;Total;61.1;50.2;60.3;53.1;59.1;28.1;48.9
2021;4312302;MIRAGUAÍ;Total;45.5;83.2;63.6;71.8;74.7;0;0
2021;4312351;MONTAURI;Total;93.3;62.8;70;66.3;52.6;0;0
2021;4312377;MONTE ALEGRE DOS CAMPOS;Total;69.7;88.1;58.4;73;37.5;0;0
2021;4312385;MONTE BELO DO SUL;Total;63.6;69;45.7;58.7;40.3;0;0
2021;4312401;MONTENEGRO;Total;58.9;62.7;70.4;66.7;81;48;68.3
2021;4312427;MORMAÇO;Total;58.3;85.2;80.1;82.9;68.5;0;0
2021;4312443;MORRINHOS DO SUL;Total;56.5;81.4;64.7;71.7;61.3;0;0
2021;4312450;MORRO REDONDO;Total;68.2;94.8;74.5;87.8;75.8;53.8;0
2021;4312476;MORRO REUTER;Total;57.1;71.2;72.4;71.9;68.3;0;0
2021;4312500;MOSTARDAS;Total;88;85.6;60.6;72.2;66;0;0
2021;4312609;MUÇUM;Total;90.9;66.4;72.6;69.4;58.7;0;0
2021;4312617;MUITOS CAPÕES;Total;29;88.5;61;73;37.1;0;0
2021;4312625;MULITERNO;Total;75;61.1;56.3;59.1;56.4;0;0
2021;4312658;NÃO-ME-TOQUE;Total;66.6;73.6;71.3;72.5;73.3;0;64.3
2021;4312674;NICOLAU VERGUEIRO;Total;57.2;45.8;68;55;64.3;0;0
2021;4312708;NONOAI;Total;81.1;70.4;53.3;61.2;79.4;15.6;60
2021;4312757;NOVA ALVORADA;Total;38.7;55;58.9;57.4;62.2;0;0
